sequenceId,ParameterKey,ParameterValue
1_29D,airtime_evenness,-8.858412236613457
1_29D,psy_safe,4.415238095238094
1_29E,expgroup,Feedback
1_29E,repmark,61.0
1_29E,presmark,23.0
1_29E,teammark,76.33333333333333
1_29E,airtime_evenness,-11.452168103050049
1_29E,psy_safe,4.169047619047619
1_29F,expgroup,Feedback
1_29F,repmark,74.0
1_29F,presmark,22.0
1_29F,teammark,88.66666666666667
1_29F,airtime_evenness,-10.516689768213698
1_29F,psy_safe,4.194285714285714
1_30A,expgroup,Control
1_30A,repmark,42.43
1_30A,presmark,22.3
1_30A,teammark,57.296666666666674
1_30A,airtime_evenness,-10.465982215455858
1_30A,psy_safe,4.3619047619047615
1_30B,expgroup,Control
1_30B,repmark,48.96
1_30B,presmark,18.3
1_30B,teammark,61.15999999999999
1_30B,airtime_evenness,-9.953354497188693
1_30B,psy_safe,4.418095238095239
1_30C,expgroup,Control
1_30C,repmark,49.57999999999999
1_30C,presmark,23.3
1_30C,teammark,65.11333333333333
1_30C,airtime_evenness,-11.735247033098954
1_30C,psy_safe,4.23047619047619
1_30E,expgroup,Control
1_30E,repmark,52.800000000000004
1_30E,presmark,19.0
1_30E,teammark,65.46666666666668
1_30E,airtime_evenness,-5.646478530444208
1_30E,psy_safe,4.73904761904762
1_30F,expgroup,Control
1_30F,repmark,51.699999999999996
1_30F,presmark,17.0
1_30F,teammark,63.033333333333324
1_30F,airtime_evenness,-5.443627174342528
1_30F,psy_safe,4.49
1_36A,expgroup,Reflection
1_36A,repmark,40.27
1_36A,presmark,21.0
1_36A,teammark,54.27
1_36A,airtime_evenness,-11.193317737537328
1_36A,psy_safe,4.097142857142858
1_36B,expgroup,Reflection
1_36B,repmark,33.07
1_36B,presmark,18.0
1_36B,teammark,45.07
1_36B,airtime_evenness,-9.306462917701218
1_36B,psy_safe,4.104761904761905
1_36C,expgroup,Reflection
1_36C,repmark,43.73
1_36C,presmark,20.0
1_36C,teammark,57.06333333333333
1_36C,airtime_evenness,-10.250026619849699
1_36C,psy_safe,4.066666666666667
1_36D,expgroup,Reflection
1_36D,repmark,31.73
1_36D,presmark,17.0
1_36D,teammark,43.06333333333333
1_36D,airtime_evenness,-9.09925246608355
1_36D,psy_safe,4.539047619047619
1_36E,expgroup,Reflection
1_36E,repmark,33.22
1_36E,presmark,16.0
1_36E,teammark,43.88666666666666
1_36E,airtime_evenness,-12.750889966315459
1_36E,psy_safe,4.181904761904762
1_36F,expgroup,Reflection
1_36F,repmark,42.72
1_36F,presmark,22.0
1_36F,teammark,57.38666666666666
