sequenceId,ParameterKey,ParameterValue
1_3A,teammark,43.114285714
1_3A,airtime_evenness,-11.072972647910861
1_3A,psy_safe,4.466666666666667
1_3B,expgroup,Reflection
1_3B,repmark,42.2
1_3B,presmark,53.33333333
1_3B,teammark,52.866666666
1_3B,airtime_evenness,-17.299826306724366
1_3B,psy_safe,4.3199999999999985
1_3C,expgroup,Reflection
1_3C,repmark,55.4
1_3C,presmark,49.44444444
1_3C,teammark,65.288888888
1_3C,airtime_evenness,-15.535168339742233
1_3C,psy_safe,4.191428571428571
1_3D,expgroup,Reflection
1_3D,repmark,33.8
1_3D,presmark,46.38888889
1_3D,teammark,43.077777778
1_3D,airtime_evenness,-11.086894760860094
1_3D,psy_safe,4.228571428571429
1_3E,expgroup,Reflection
1_3E,repmark,49.4
1_3E,presmark,53.33333333
1_3E,teammark,60.066666666
1_3E,airtime_evenness,-9.000340796166865
1_3E,psy_safe,3.765714285714286
1_3F,expgroup,Reflection
1_3F,repmark,31.4
1_3F,presmark,48.37837838
1_3F,teammark,41.075675676
1_3F,airtime_evenness,-13.762317557712258
1_3F,psy_safe,4.214285714285714
1_3G,expgroup,Reflection
1_3G,repmark,36.8
1_3G,presmark,57.777777779999994
1_3G,teammark,48.355555556
1_3G,airtime_evenness,-14.749814595074925
1_3G,psy_safe,4.269523809523809
1_4A,expgroup,Feedback
1_4A,repmark,71.0
1_4A,presmark,82.57142856999998
1_4A,teammark,87.514285714
1_4A,airtime_evenness,-12.30290649275234
1_4A,psy_safe,3.985714285714286
1_4C,expgroup,Feedback
1_4C,repmark,62.0
1_4C,presmark,78.61111111
1_4C,teammark,77.722222222
1_4C,airtime_evenness,-15.413718563174653
1_4C,psy_safe,3.8714285714285714
1_4D,expgroup,Feedback
1_4D,repmark,24.2
1_4D,presmark,66.38888889
1_4D,teammark,37.477777778000004
1_4D,airtime_evenness,-10.628890341897302
1_4D,psy_safe,3.8952380952380956
1_4E,expgroup,Feedback
1_4E,repmark,41.6
1_4E,presmark,70.55555556
1_4E,teammark,55.711111112000005
1_4E,airtime_evenness,-11.93515053234755
1_4E,psy_safe,4.142857142857143
1_4F,expgroup,Feedback
1_4F,repmark,36.8
1_4F,presmark,67.2972973
1_4F,teammark,50.259459459999995
1_4F,airtime_evenness,-14.305599927032967
1_4F,psy_safe,3.9471428571428575
1_4G,expgroup,Feedback
1_4G,repmark,48.2
1_4G,presmark,74.44444444
1_4G,teammark,63.088888888
1_4G,airtime_evenness,-8.703283721425944
1_4G,psy_safe,4.697142857142857
1_5A,expgroup,Control
1_5A,repmark,54.800000000000004
1_5A,presmark,73.63636364
1_5A,teammark,69.527272728
1_5A,airtime_evenness,-11.486862169186564
1_5A,psy_safe,4.776190476190476
1_5B,expgroup,Control
1_5B,repmark,48.8
1_5B,presmark,61.47058824
1_5B,teammark,61.094117647999994
1_5B,airtime_evenness,-12.173366669700638
1_5B,psy_safe,4.2128571428571435
1_5D,expgroup,Control
1_5D,repmark,54.8
1_5D,presmark,72.57142857
1_5D,teammark,69.314285714
1_5D,airtime_evenness,-12.918217019759668
1_5D,psy_safe,4.488571428571428
1_5E,expgroup,Control
1_5E,repmark,45.2
1_5E,presmark,56.57142857
1_5E,teammark,56.514285714
1_5E,airtime_evenness,-24.188415301508446
1_5E,psy_safe,4.8047619047619055
1_5G,expgroup,Control
1_5G,repmark,49.4
1_5G,presmark,65.88235294
1_5G,teammark,62.57647058799999
1_5G,airtime_evenness,-13.521647788091453
1_5G,psy_safe,4.2057142857142855
1_6A,expgroup,Reflection
1_6A,repmark,39.2
1_6A,presmark,54.32432432
1_6A,teammark,50.064864864
1_6A,airtime_evenness,-17.71758383333323
1_6A,psy_safe,4.673809523809524
1_6B,expgroup,Reflection
1_6B,repmark,44.0
1_6B,presmark,72.0
1_6B,teammark,58.4
1_6B,airtime_evenness,-11.286024979901416
1_6B,psy_safe,4.050476190476191
1_6C,expgroup,Reflection
1_6C,repmark,52.4
1_6C,presmark,66.17647059
1_6C,teammark,65.63529411799999
1_6C,airtime_evenness,-10.940697511708224
1_6C,psy_safe,4.062857142857143
1_6D,expgroup,Reflection
1_6D,repmark,56.6
1_6D,presmark,73.71428571
1_6D,teammark,71.342857142
1_6D,airtime_evenness,-11.721776794564947
1_6D,psy_safe,4.531428571428571
1_6E,expgroup,Reflection
1_6E,repmark,37.4
1_6E,presmark,54.57142857
1_6E,teammark,48.314285714
1_6E,airtime_evenness,-13.720716501286661
1_6E,psy_safe,4.322857142857143
1_6F,expgroup,Reflection
1_6F,repmark,57.8
1_6F,presmark,69.14285714
1_6F,teammark,71.628571428
1_6F,airtime_evenness,-11.165520696881382
1_6F,psy_safe,4.075714285714286
1_6G,expgroup,Reflection
1_6G,repmark,48.2
1_6G,presmark,73.71428571
1_6G,teammark,62.942857142
1_6G,airtime_evenness,-6.2706539814131155
1_6G,psy_safe,4.131428571428572
2_13A,expgroup,Feedback
2_13A,repmark,63.2
2_13A,presmark,63.51351351000001
2_13A,teammark,75.902702702
2_13A,airtime_evenness,-10.100580275086674
2_13A,psy_safe,4.232380952380952
2_13B,expgroup,Feedback
2_13B,repmark,64.39999999999999
2_13B,presmark,52.5
2_13B,teammark,74.89999999999999
2_13B,airtime_evenness,-14.821351711700103
2_13B,psy_safe,3.9390476190476194
2_13C,expgroup,Feedback
2_13C,repmark,60.2
2_13C,presmark,71.35135135
2_13C,teammark,74.47027027
2_13C,airtime_evenness,-12.896867602678116
2_13C,psy_safe,4.384761904761905
2_13D,expgroup,Feedback
2_13D,repmark,52.4
2_13D,presmark,60.54054054000001
2_13D,teammark,64.508108108
2_13D,airtime_evenness,-8.960193984424459
2_13D,psy_safe,4.207142857142857
2_13E,expgroup,Feedback
2_13E,repmark,57.2
2_13E,presmark,64.86486486
2_13E,teammark,70.172972972
2_13E,airtime_evenness,-15.820259538880602
2_13E,psy_safe,4.273214285714285
2_13F,expgroup,Feedback
2_13F,repmark,59.6
2_13F,presmark,73.78378378
2_13F,teammark,74.356756756
2_13F,airtime_evenness,-11.900368355817951
2_13F,psy_safe,4.542857142857143
2_13G,expgroup,Feedback
2_13G,repmark,69.8
2_13G,presmark,73.51351351
2_13G,teammark,84.502702702
2_13G,airtime_evenness,-12.5288938295683
2_13G,psy_safe,4.242857142857143
2_15A,expgroup,Control
2_15A,repmark,47.6
2_15A,presmark,70.83333333
2_15A,teammark,61.766666666000006
2_15A,airtime_evenness,-11.439293609459645
2_15A,psy_safe,4.468571428571429
2_15C,expgroup,Control
2_15C,repmark,51.2
2_15C,presmark,71.94444444
2_15C,teammark,65.588888888
2_15C,airtime_evenness,-11.493611001912011
2_15C,psy_safe,4.365714285714286
2_15D,expgroup,Control
2_15D,repmark,51.8
2_15D,presmark,62.7027027
2_15D,teammark,64.34054054
2_15D,airtime_evenness,-12.66260417989599
2_15D,psy_safe,4.378571428571429
2_15E,expgroup,Control
2_15E,repmark,37.4
2_15E,presmark,59.722222220000006
2_15E,teammark,49.344444444
2_15E,airtime_evenness,-13.284621186248085
2_15E,psy_safe,4.6571428571428575
2_15F,expgroup,Control
2_15F,repmark,43.4
2_15F,presmark,68.61111111
2_15F,teammark,57.12222222199999
2_15F,airtime_evenness,-14.536101912424007
2_15F,psy_safe,4.512857142857143
2_15G,expgroup,Control
2_15G,repmark,52.4
2_15G,presmark,68.33333333
2_15G,teammark,66.066666666
2_15G,airtime_evenness,-12.64830688956932
2_15G,psy_safe,4.622857142857143
2_18A,expgroup,Reflection
2_18A,repmark,46.199999999999996
2_18A,presmark,50.85714286
2_18A,teammark,56.371428572000006
2_18A,airtime_evenness,-9.39943060980315
2_18A,psy_safe,4.539047619047619
2_18B,expgroup,Reflection
2_18B,repmark,49.4
2_18B,presmark,58.05555556
2_18B,teammark,61.011111112
2_18B,airtime_evenness,-15.37513028652546
2_18B,psy_safe,4.37
2_18C,expgroup,Reflection
2_18C,repmark,48.2
2_18C,presmark,54.32432432
2_18C,teammark,59.064864864
2_18C,airtime_evenness,-10.86287404320252
2_18C,psy_safe,4.25
2_18E,expgroup,Reflection
2_18E,repmark,53.6
2_18E,presmark,73.05555556
